func,n,noise,interp,order,eval_type,nrmse,n_support
sin(2πx),51,0.0,agp_robust,0,interior,9.494023341921841e-7,-1
sin(2πx),51,0.0,aaad,0,interior,6.907243337753625e-16,11
sin(2πx),51,0.0,s2_aaa_mle,0,interior,6.266691345177127e-14,10
sin(2πx),51,0.0,agp_robust,1,interior,4.423980087577232e-6,-1
sin(2πx),51,0.0,aaad,1,interior,5.4015937487566105e-15,11
sin(2πx),51,0.0,s2_aaa_mle,1,interior,5.04607094652679e-13,10
sin(2πx),51,0.0,agp_robust,2,interior,1.6458313651497197e-5,-1
sin(2πx),51,0.0,aaad,2,interior,1.463080455846453e-13,11
sin(2πx),51,0.0,s2_aaa_mle,2,interior,3.34523779469316e-12,10
sin(2πx),51,0.0,agp_robust,3,interior,9.71787838064855e-5,-1
sin(2πx),51,0.0,aaad,3,interior,4.715247332051364e-10,11
sin(2πx),51,0.0,s2_aaa_mle,3,interior,6.493995723466925e-10,10
sin(2πx),51,0.0,agp_robust,4,interior,0.00026915223453068354,-1
sin(2πx),51,0.0,aaad,4,interior,3.683841135077852e-9,11
sin(2πx),51,0.0,s2_aaa_mle,4,interior,4.9362177425243186e-8,10
sin(2πx),51,0.0,agp_robust,5,interior,0.0025747654928356184,-1
sin(2πx),51,0.0,aaad,5,interior,3.891503752646563e-6,11
sin(2πx),51,0.0,s2_aaa_mle,5,interior,4.362335570645576e-5,10
sin(2πx),51,0.0,agp_robust,6,interior,0.00977845973960758,-1
sin(2πx),51,0.0,aaad,6,interior,0.01082949946392812,11
sin(2πx),51,0.0,s2_aaa_mle,6,interior,0.0015873937625825133,10
sin(2πx),51,0.0,agp_robust,7,interior,0.031405698869250286,-1
sin(2πx),51,0.0,aaad,7,interior,11.038431901210457,11
sin(2πx),51,0.0,s2_aaa_mle,7,interior,18.177622533313468,10
sin(2πx),51,0.0,agp_robust,0,on_data,9.454319858836253e-7,-1
sin(2πx),51,0.0,aaad,0,on_data,7.097592349636158e-16,11
sin(2πx),51,0.0,s2_aaa_mle,0,on_data,6.279119199852945e-14,10
sin(2πx),51,0.0,agp_robust,2,on_data,1.6108459693352874e-5,-1
sin(2πx),51,0.0,aaad,2,on_data,5.3218862832144816e-14,11
sin(2πx),51,0.0,s2_aaa_mle,2,on_data,3.162735830571715e-12,10
sin(2πx),51,0.0,agp_robust,4,on_data,0.00025434838445341675,-1
sin(2πx),51,0.0,aaad,4,on_data,1.7772901196658534e-11,11
sin(2πx),51,0.0,s2_aaa_mle,4,on_data,2.3750518410240455e-10,10
sin(2πx),51,0.0,agp_robust,6,on_data,0.00959000751095322,-1
sin(2πx),51,0.0,aaad,6,on_data,2.361238001512717e-8,11
sin(2πx),51,0.0,s2_aaa_mle,6,on_data,2.6033753813456446e-8,10
sin(2πx),51,1.0e-8,agp_robust,0,interior,9.899598699223512e-7,-1
sin(2πx),51,1.0e-8,aaad,0,interior,2.0444869666967944e-8,26
sin(2πx),51,1.0e-8,s2_aaa_mle,0,interior,2.044486972253966e-8,26
sin(2πx),51,1.0e-8,s3_se,0,interior,1.0143389123863458e-8,27
sin(2πx),51,1.0e-8,agp_robust,1,interior,4.3886212436947964e-6,-1
sin(2πx),51,1.0e-8,aaad,1,interior,1.832989962039602e-6,26
sin(2πx),51,1.0e-8,s2_aaa_mle,1,interior,1.8329899521221007e-6,26
sin(2πx),51,1.0e-8,s3_se,1,interior,1.9695201536069842e-7,27
sin(2πx),51,1.0e-8,agp_robust,2,interior,1.7098583037452625e-5,-1
sin(2πx),51,1.0e-8,aaad,2,interior,0.00023049135731990894,26
sin(2πx),51,1.0e-8,s2_aaa_mle,2,interior,0.00023049135185855636,26
sin(2πx),51,1.0e-8,s3_se,2,interior,8.792611649507996e-6,27
sin(2πx),51,1.0e-8,agp_robust,3,interior,9.52671915255737e-5,-1
sin(2πx),51,1.0e-8,aaad,3,interior,0.07141355147939381,26
sin(2πx),51,1.0e-8,s2_aaa_mle,3,interior,0.07141354675989768,26
sin(2πx),51,1.0e-8,s3_se,3,interior,0.0010337050005394506,27
sin(2πx),51,1.0e-8,agp_robust,4,interior,0.0002814697125864505,-1
sin(2πx),51,1.0e-8,aaad,4,interior,20.58060696261173,26
sin(2πx),51,1.0e-8,s2_aaa_mle,4,interior,20.580605359847368,26
sin(2πx),51,1.0e-8,s3_se,4,interior,0.10813376805867299,27
sin(2πx),51,1.0e-8,agp_robust,5,interior,0.002715481711635233,-1
sin(2πx),51,1.0e-8,aaad,5,interior,11297.745203649962,26
sin(2πx),51,1.0e-8,s2_aaa_mle,5,interior,11297.7443838222,26
sin(2πx),51,1.0e-8,s3_se,5,interior,21.279057081848883,27
sin(2πx),51,1.0e-8,agp_robust,6,interior,0.009966585750028564,-1
sin(2πx),51,1.0e-8,aaad,6,interior,5.021396437126966e6,26
sin(2πx),51,1.0e-8,s2_aaa_mle,6,interior,5.021396042621969e6,26
sin(2πx),51,1.0e-8,s3_se,6,interior,3371.0876838762456,27
sin(2πx),51,1.0e-8,agp_robust,7,interior,0.03130165366160093,-1
sin(2πx),51,1.0e-8,aaad,7,interior,3.9078248557038245e9,26
sin(2πx),51,1.0e-8,s2_aaa_mle,7,interior,3.907824467551883e9,26
sin(2πx),51,1.0e-8,s3_se,7,interior,932891.27907947,27
sin(2πx),51,1.0e-8,agp_robust,0,on_data,9.872945636409699e-7,-1
sin(2πx),51,1.0e-8,aaad,0,on_data,1.1115266907533641e-8,26
sin(2πx),51,1.0e-8,s2_aaa_mle,0,on_data,1.1115266861599617e-8,26
sin(2πx),51,1.0e-8,s3_se,0,on_data,9.468576317375694e-9,27
sin(2πx),51,1.0e-8,agp_robust,2,on_data,1.6766350519972966e-5,-1
sin(2πx),51,1.0e-8,aaad,2,on_data,2.585755691450834e-5,26
sin(2πx),51,1.0e-8,s2_aaa_mle,2,on_data,2.5857556175325826e-5,26
sin(2πx),51,1.0e-8,s3_se,2,on_data,5.161432091624748e-5,27
sin(2πx),51,1.0e-8,agp_robust,4,on_data,0.00026343982514319414,-1
sin(2πx),51,1.0e-8,aaad,4,on_data,0.6031216824614624,26
sin(2πx),51,1.0e-8,s2_aaa_mle,4,on_data,0.6031216648820872,26
sin(2πx),51,1.0e-8,s3_se,4,on_data,3.0273542964298596,27
sin(2πx),51,1.0e-8,agp_robust,6,on_data,0.00977926251491492,-1
sin(2πx),51,1.0e-8,aaad,6,on_data,37415.63429115686,26
sin(2πx),51,1.0e-8,s2_aaa_mle,6,on_data,37415.63319974442,26
sin(2πx),51,1.0e-8,s3_se,6,on_data,447834.8516444294,27
sin(2πx),51,0.0001,agp_robust,0,interior,5.205142034744888e-5,-1
sin(2πx),51,0.0001,aaad,0,interior,0.00016160392759094702,27
sin(2πx),51,0.0001,s2_aaa_mle,0,interior,0.00016096217955383963,26
sin(2πx),51,0.0001,s3_se,0,interior,0.00011451612736825604,28
sin(2πx),51,0.0001,agp_robust,1,interior,0.0001943269051099989,-1
sin(2πx),51,0.0001,aaad,1,interior,0.004012824935464959,27
sin(2πx),51,0.0001,s2_aaa_mle,1,interior,0.0038541948165028476,26
sin(2πx),51,0.0001,s3_se,1,interior,0.002030281766646874,28
sin(2πx),51,0.0001,agp_robust,2,interior,0.00044743840826189926,-1
sin(2πx),51,0.0001,aaad,2,interior,0.11464009871665046,27
sin(2πx),51,0.0001,s2_aaa_mle,2,interior,0.07357184572843861,26
sin(2πx),51,0.0001,s3_se,2,interior,0.1105862570432434,28
sin(2πx),51,0.0001,agp_robust,3,interior,0.0017989614870837912,-1
sin(2πx),51,0.0001,aaad,3,interior,12.924169215488256,27
sin(2πx),51,0.0001,s2_aaa_mle,3,interior,8.11864768572981,26
sin(2πx),51,0.0001,s3_se,3,interior,23.30589601523351,28
sin(2πx),51,0.0001,agp_robust,4,interior,0.004976299500530225,-1
sin(2πx),51,0.0001,aaad,4,interior,1204.1126329122444,27
sin(2πx),51,0.0001,s2_aaa_mle,4,interior,609.8927964621882,26
sin(2πx),51,0.0001,s3_se,4,interior,4430.946842967451,28
sin(2πx),51,0.0001,agp_robust,5,interior,0.019540189729145226,-1
sin(2πx),51,0.0001,aaad,5,interior,225145.63431931203,27
sin(2πx),51,0.0001,s2_aaa_mle,5,interior,121098.04962247507,26
sin(2πx),51,0.0001,s3_se,5,interior,1.5760456679493259e6,28
sin(2πx),51,0.0001,agp_robust,6,interior,0.03180316001528564,-1
sin(2πx),51,0.0001,aaad,6,interior,3.407596805911341e7,27
sin(2πx),51,0.0001,s2_aaa_mle,6,interior,2.0879706846139047e7,26
sin(2πx),51,0.0001,s3_se,6,interior,4.499758475335064e8,28
sin(2πx),51,0.0001,agp_robust,7,interior,0.08250517025572104,-1
sin(2πx),51,0.0001,aaad,7,interior,9.215489557830677e9,27
sin(2πx),51,0.0001,s2_aaa_mle,7,interior,6.861643173620948e9,26
sin(2πx),51,0.0001,s3_se,7,interior,2.2409015066697406e11,28
sin(2πx),51,0.0001,agp_robust,0,on_data,5.111957604733252e-5,-1
sin(2πx),51,0.0001,aaad,0,on_data,0.00014069632966460412,27
sin(2πx),51,0.0001,s2_aaa_mle,0,on_data,0.0001406963296647607,26
sin(2πx),51,0.0001,s3_se,0,on_data,0.00013240054032184553,28
sin(2πx),51,0.0001,agp_robust,2,on_data,0.0004417074896344124,-1
sin(2πx),51,0.0001,aaad,2,on_data,0.49234927133560885,27
sin(2πx),51,0.0001,s2_aaa_mle,2,on_data,0.4601034066445184,26
sin(2πx),51,0.0001,s3_se,2,on_data,2.307720657430595,28
sin(2πx),51,0.0001,agp_robust,4,on_data,0.005300766067849023,-1
sin(2πx),51,0.0001,aaad,4,on_data,18943.092670434256,27
sin(2πx),51,0.0001,s2_aaa_mle,4,on_data,16292.662650319142,26
sin(2πx),51,0.0001,s3_se,4,on_data,729046.4505698212,28
sin(2πx),51,0.0001,agp_robust,6,on_data,0.03173081017193969,-1
sin(2πx),51,0.0001,aaad,6,on_data,1.8935731495980742e9,27
sin(2πx),51,0.0001,s2_aaa_mle,6,on_data,1.515506241358034e9,26
sin(2πx),51,0.0001,s3_se,6,on_data,5.756952959599613e11,28
sin(2πx),51,0.01,agp_robust,0,interior,0.003601148074477439,-1
sin(2πx),51,0.01,aaad,0,interior,0.08026483803681288,26
sin(2πx),51,0.01,s2_aaa_mle,0,interior,0.08026483803681074,26
sin(2πx),51,0.01,s3_se,0,interior,0.012854453164366517,27
sin(2πx),51,0.01,agp_robust,1,interior,0.0049934217691911635,-1
sin(2πx),51,0.01,aaad,1,interior,70.57562652827725,26
sin(2πx),51,0.01,s2_aaa_mle,1,interior,70.57562652827583,26
sin(2πx),51,0.01,s3_se,1,interior,0.1613357598044676,27
sin(2πx),51,0.01,agp_robust,2,interior,0.015532879897341395,-1
sin(2πx),51,0.01,aaad,2,interior,92825.47641298456,26
sin(2πx),51,0.01,s2_aaa_mle,2,interior,92825.47641298288,26
sin(2πx),51,0.01,s3_se,2,interior,3.9259910362578396,27
sin(2πx),51,0.01,agp_robust,3,interior,0.05754028473681379,-1
sin(2πx),51,0.01,aaad,3,interior,2.7401544532818633e8,26
sin(2πx),51,0.01,s2_aaa_mle,3,interior,2.74015445328182e8,26
sin(2πx),51,0.01,s3_se,3,interior,209.28545401912478,27
sin(2πx),51,0.01,agp_robust,4,interior,0.09015398681618242,-1
sin(2πx),51,0.01,aaad,4,interior,7.213779286869628e11,26
sin(2πx),51,0.01,s2_aaa_mle,4,interior,7.213779286869524e11,26
sin(2πx),51,0.01,s3_se,4,interior,11094.479655182502,27
sin(2πx),51,0.01,agp_robust,5,interior,0.14514609269090495,-1
sin(2πx),51,0.01,aaad,5,interior,3.5491497654334665e15,26
sin(2πx),51,0.01,s2_aaa_mle,5,interior,3.5491497654334235e15,26
sin(2πx),51,0.01,s3_se,5,interior,1.6592146078619969e6,27
sin(2πx),51,0.01,agp_robust,6,interior,0.19158144416296016,-1
sin(2πx),51,0.01,aaad,6,interior,1.4015334506834782e19,26
sin(2πx),51,0.01,s2_aaa_mle,6,interior,1.4015334506834639e19,26
sin(2πx),51,0.01,s3_se,6,interior,3.183698893702271e8,27
sin(2πx),51,0.01,agp_robust,7,interior,0.41748427862313126,-1
sin(2πx),51,0.01,aaad,7,interior,9.653681803224986e22,26
sin(2πx),51,0.01,s2_aaa_mle,7,interior,9.653681803224909e22,26
sin(2πx),51,0.01,s3_se,7,interior,1.4291396454842758e11,27
sin(2πx),51,0.01,agp_robust,0,on_data,0.003570747485382297,-1
sin(2πx),51,0.01,aaad,0,on_data,0.015479131559060054,26
sin(2πx),51,0.01,s2_aaa_mle,0,on_data,0.015479131559060534,26
sin(2πx),51,0.01,s3_se,0,on_data,0.015582714092857424,27
sin(2πx),51,0.01,agp_robust,2,on_data,0.0138520478086673,-1
sin(2πx),51,0.01,aaad,2,on_data,266.7373477059654,26
sin(2πx),51,0.01,s2_aaa_mle,2,on_data,266.7373477059914,26
sin(2πx),51,0.01,s3_se,2,on_data,1584.316604743497,27
sin(2πx),51,0.01,agp_robust,4,on_data,0.08953989297234695,-1
sin(2πx),51,0.01,aaad,4,on_data,4.485588077945915e7,26
sin(2πx),51,0.01,s2_aaa_mle,4,on_data,4.48558807794643e7,26
sin(2πx),51,0.01,s3_se,4,on_data,2.2174362793119125e9,27
sin(2πx),51,0.01,agp_robust,6,on_data,0.18862454743127677,-1
sin(2πx),51,0.01,aaad,6,on_data,2.0452344997362625e13,26
sin(2πx),51,0.01,s2_aaa_mle,6,on_data,2.0452344997364996e13,26
sin(2πx),51,0.01,s3_se,6,on_data,7.907942804128862e15,27
sin(2πx),101,0.0,agp_robust,0,interior,1.0381813204095026e-6,-1
sin(2πx),101,0.0,aaad,0,interior,1.043051153942449e-15,11
sin(2πx),101,0.0,s2_aaa_mle,0,interior,8.30613903773555e-14,10
sin(2πx),101,0.0,s3_se,0,interior,5.0374636541638166e-11,53
sin(2πx),101,0.0,agp_robust,1,interior,5.849119828567935e-6,-1
sin(2πx),101,0.0,aaad,1,interior,6.733118214450104e-15,11
sin(2πx),101,0.0,s2_aaa_mle,1,interior,5.696649167041729e-13,10
sin(2πx),101,0.0,s3_se,1,interior,3.917145290768438e-9,53
sin(2πx),101,0.0,agp_robust,2,interior,2.2417003731821102e-5,-1
sin(2πx),101,0.0,aaad,2,interior,1.4050353498592716e-13,11
sin(2πx),101,0.0,s2_aaa_mle,2,interior,4.996533951489249e-12,10
sin(2πx),101,0.0,s3_se,2,interior,9.694370001002524e-7,53
sin(2πx),101,0.0,agp_robust,3,interior,0.00029356278530266115,-1
sin(2πx),101,0.0,aaad,3,interior,7.912163652407758e-12,11
sin(2πx),101,0.0,s2_aaa_mle,3,interior,3.357394581146199e-11,10
sin(2πx),101,0.0,s3_se,3,interior,0.0004349637831666801,53
sin(2πx),101,0.0,agp_robust,4,interior,0.0018179825168132858,-1
sin(2πx),101,0.0,aaad,4,interior,7.485964195632824e-10,11
sin(2πx),101,0.0,s2_aaa_mle,4,interior,1.0522026597780761e-9,10
sin(2πx),101,0.0,s3_se,4,interior,0.235373335363594,53
sin(2πx),101,0.0,agp_robust,5,interior,0.007728467597084871,-1
sin(2πx),101,0.0,aaad,5,interior,2.561932293192676e-7,11
sin(2πx),101,0.0,s2_aaa_mle,5,interior,6.99395388072887e-8,10
sin(2πx),101,0.0,s3_se,5,interior,179.22688514020112,53
sin(2πx),101,0.0,agp_robust,6,interior,0.019141350816851515,-1
sin(2πx),101,0.0,aaad,6,interior,7.894883198319825e-5,11
sin(2πx),101,0.0,s2_aaa_mle,6,interior,3.999842460127703e-6,10
sin(2πx),101,0.0,s3_se,6,interior,145681.36015768134,53
sin(2πx),101,0.0,agp_robust,7,interior,0.032885472863734916,-1
sin(2πx),101,0.0,aaad,7,interior,0.014614715742974219,11
sin(2πx),101,0.0,s2_aaa_mle,7,interior,0.0005713422613027771,10
sin(2πx),101,0.0,s3_se,7,interior,1.5535261756596935e8,53
sin(2πx),101,0.0,agp_robust,0,on_data,1.0408200534060202e-6,-1
sin(2πx),101,0.0,aaad,0,on_data,1.2102569743461477e-15,11
sin(2πx),101,0.0,s2_aaa_mle,0,on_data,8.501588875571521e-14,10
sin(2πx),101,0.0,s3_se,0,on_data,3.0886519615364586e-11,53
sin(2πx),101,0.0,agp_robust,2,on_data,2.14695388475657e-5,-1
sin(2πx),101,0.0,aaad,2,on_data,1.0897236244561984e-13,11
sin(2πx),101,0.0,s2_aaa_mle,2,on_data,5.2625967632705534e-12,10
sin(2πx),101,0.0,s3_se,2,on_data,7.388198040956513e-7,53
sin(2πx),101,0.0,agp_robust,4,on_data,0.0018450800677618695,-1
sin(2πx),101,0.0,aaad,4,on_data,1.804152834265367e-10,11
sin(2πx),101,0.0,s2_aaa_mle,4,on_data,6.66015518673007e-10,10
sin(2πx),101,0.0,s3_se,4,on_data,0.3798655296908845,53
sin(2πx),101,0.0,agp_robust,6,on_data,0.019315070248468756,-1
sin(2πx),101,0.0,aaad,6,on_data,1.541499618425985e-7,11
sin(2πx),101,0.0,s2_aaa_mle,6,on_data,2.693258803043749e-7,10
sin(2πx),101,0.0,s3_se,6,on_data,568977.9933078415,53
sin(2πx),101,1.0e-8,agp_robust,0,interior,1.0884504696301697e-6,-1
sin(2πx),101,1.0e-8,aaad,0,interior,1.880654309161447e-8,52
sin(2πx),101,1.0e-8,s2_aaa_mle,0,interior,1.733808446095748e-8,51
sin(2πx),101,1.0e-8,s3_se,0,interior,1.4523196000994978e-8,56
sin(2πx),101,1.0e-8,agp_robust,1,interior,5.180376980552417e-6,-1
sin(2πx),101,1.0e-8,aaad,1,interior,3.857087130700684e-6,52
sin(2πx),101,1.0e-8,s2_aaa_mle,1,interior,8.217758707273125e-6,51
sin(2πx),101,1.0e-8,s3_se,1,interior,3.4433038151975002e-6,56
sin(2πx),101,1.0e-8,agp_robust,2,interior,2.6229433912919842e-5,-1
sin(2πx),101,1.0e-8,aaad,2,interior,0.00201909758783823,52
sin(2πx),101,1.0e-8,s2_aaa_mle,2,interior,0.009671535350781454,51
sin(2πx),101,1.0e-8,s3_se,2,interior,0.002008466264027235,56
sin(2πx),101,1.0e-8,agp_robust,3,interior,0.00010288581036029055,-1
sin(2πx),101,1.0e-8,aaad,3,interior,1.7934019184719523,52
sin(2πx),101,1.0e-8,s2_aaa_mle,3,interior,19.36200539578429,51
sin(2πx),101,1.0e-8,s3_se,3,interior,2.026737291048797,56
sin(2πx),101,1.0e-8,agp_robust,4,interior,0.0009458949103915666,-1
sin(2πx),101,1.0e-8,aaad,4,interior,1887.932237260452,52
sin(2πx),101,1.0e-8,s2_aaa_mle,4,interior,46024.16937592939,51
sin(2πx),101,1.0e-8,s3_se,4,interior,2427.930218603727,56
sin(2πx),101,1.0e-8,agp_robust,5,interior,0.005688795146431731,-1
sin(2πx),101,1.0e-8,aaad,5,interior,2.7934650359208635e6,52
sin(2πx),101,1.0e-8,s2_aaa_mle,5,interior,1.537951972261983e8,51
sin(2πx),101,1.0e-8,s3_se,5,interior,4.0883545301212487e6,56
sin(2πx),101,1.0e-8,agp_robust,6,interior,0.017562078845711558,-1
sin(2πx),101,1.0e-8,aaad,6,interior,4.4111117242619705e9,52
sin(2πx),101,1.0e-8,s2_aaa_mle,6,interior,5.484755008967784e11,51
sin(2πx),101,1.0e-8,s3_se,6,interior,7.347004075544126e9,56
sin(2πx),101,1.0e-8,agp_robust,7,interior,0.03582463572617554,-1
sin(2πx),101,1.0e-8,aaad,7,interior,9.137626455802295e12,52
sin(2πx),101,1.0e-8,s2_aaa_mle,7,interior,2.56598154403064e15,51
sin(2πx),101,1.0e-8,s3_se,7,interior,1.732018962463527e13,56
sin(2πx),101,1.0e-8,agp_robust,0,on_data,1.0858772239553582e-6,-1
sin(2πx),101,1.0e-8,aaad,0,on_data,1.2230294314342282e-8,52
sin(2πx),101,1.0e-8,s2_aaa_mle,0,on_data,1.2230293315352974e-8,51
sin(2πx),101,1.0e-8,s3_se,0,on_data,9.173580822407129e-9,56
sin(2πx),101,1.0e-8,agp_robust,2,on_data,2.6512849814280354e-5,-1
sin(2πx),101,1.0e-8,aaad,2,on_data,4.3563292945451584e-5,52
sin(2πx),101,1.0e-8,s2_aaa_mle,2,on_data,0.00013188822878913787,51
sin(2πx),101,1.0e-8,s3_se,2,on_data,3.303667122720166e-5,56
sin(2πx),101,1.0e-8,agp_robust,4,on_data,0.0009580307759940853,-1
sin(2πx),101,1.0e-8,aaad,4,on_data,2.829719362045099,52
sin(2πx),101,1.0e-8,s2_aaa_mle,4,on_data,23.238883193676934,51
sin(2πx),101,1.0e-8,s3_se,4,on_data,0.9083982239937384,56
sin(2πx),101,1.0e-8,agp_robust,6,on_data,0.017744152609878817,-1
sin(2πx),101,1.0e-8,aaad,6,on_data,544995.5719246857,52
sin(2πx),101,1.0e-8,s2_aaa_mle,6,on_data,1.289590300598298e7,51
sin(2πx),101,1.0e-8,s3_se,6,on_data,66262.76794846354,56
sin(2πx),101,0.0001,agp_robust,0,interior,3.736698916837318e-5,-1
sin(2πx),101,0.0001,aaad,0,interior,0.0004413083624646547,51
sin(2πx),101,0.0001,s2_aaa_mle,0,interior,0.00044130836245634045,51
sin(2πx),101,0.0001,s3_se,0,interior,0.0006666835958831454,57
sin(2πx),101,0.0001,agp_robust,1,interior,0.00013492741731301324,-1
sin(2πx),101,0.0001,aaad,1,interior,0.5928602851649197,51
sin(2πx),101,0.0001,s2_aaa_mle,1,interior,0.5928602851486638,51
sin(2πx),101,0.0001,s3_se,1,interior,0.3693187143122633,57
sin(2πx),101,0.0001,agp_robust,2,interior,0.0008092623127379271,-1
sin(2πx),101,0.0001,aaad,2,interior,1691.2218070255826,51
sin(2πx),101,0.0001,s2_aaa_mle,2,interior,1691.2218069784349,51
sin(2πx),101,0.0001,s3_se,2,interior,374.62850677229574,57
sin(2πx),101,0.0001,agp_robust,3,interior,0.0033947612635672423,-1
sin(2πx),101,0.0001,aaad,3,interior,8.194405593821278e6,51
sin(2πx),101,0.0001,s2_aaa_mle,3,interior,8.194405593592322e6,51
sin(2πx),101,0.0001,s3_se,3,interior,641343.6757737645,57
sin(2πx),101,0.0001,agp_robust,4,interior,0.0075261837072509415,-1
sin(2πx),101,0.0001,aaad,4,interior,4.709924384897712e10,51
sin(2πx),101,0.0001,s2_aaa_mle,4,interior,4.709924384765925e10,51
sin(2πx),101,0.0001,s3_se,4,interior,1.3019220214141042e9,57
sin(2πx),101,0.0001,agp_robust,5,interior,0.011149896073846956,-1
sin(2πx),101,0.0001,aaad,5,interior,3.8051041782039475e14,51
sin(2πx),101,0.0001,s2_aaa_mle,5,interior,3.8051041780973306e14,51
sin(2πx),101,0.0001,s3_se,5,interior,3.7146924610334194e12,57
sin(2πx),101,0.0001,agp_robust,6,interior,0.021366798713333336,-1
sin(2πx),101,0.0001,aaad,6,interior,3.2807085632525696e18,51
sin(2πx),101,0.0001,s2_aaa_mle,6,interior,3.280708563160521e18,51
sin(2πx),101,0.0001,s3_se,6,interior,1.1311189540584972e16,57
sin(2πx),101,0.0001,agp_robust,7,interior,0.05437780924956876,-1
sin(2πx),101,0.0001,aaad,7,interior,3.7106445048799144e22,51
sin(2πx),101,0.0001,s2_aaa_mle,7,interior,3.7106445047756596e22,51
sin(2πx),101,0.0001,s3_se,7,interior,4.518291091843732e19,57
sin(2πx),101,0.0001,agp_robust,0,on_data,3.736973742648171e-5,-1
sin(2πx),101,0.0001,aaad,0,on_data,0.00014553456843634132,51
sin(2πx),101,0.0001,s2_aaa_mle,0,on_data,0.00014553456843671245,51
sin(2πx),101,0.0001,s3_se,0,on_data,7.768274768766794e-5,57
